AÑO,TRIMESTRE,PROVEEDOR,SEGMENTO,TERMINAL,TECNOLOGÍA,No. SUSCRIPTORES
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,4G,5038
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,8489
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,118
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,0
2022,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,204
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,71813
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,120898
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,455488
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,26900
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,3G,422500
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,15609
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,74199
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,181498
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,513
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,36438
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,3541298
2022,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,80169
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,4G,614619
2022,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2022,4,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,823
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,7357383
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,241195
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,241195
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,241195
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,241195
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,241195
2022,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,4G,21475
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,5988
2022,4,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,4G,5567
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,728
2022,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2022,4,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,4,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,4,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,4,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,4,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,987
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,26767
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,70962
